Date,Open,High,Low,Close,Adj Close,Volume,Percent
2003-07-01,61.276501,67.043701,57.672001,66.731308,53.019852,34889600,8.901955743197536%
2003-08-01,66.731308,69.470734,63.006660,68.629677,54.528145,27245800,2.844795129746299%
2003-10-01,63.198898,78.193619,63.126808,75.862709,60.613979,47684900,20.03802503011998%
2003-11-01,76.054947,80.500504,74.925537,78.842430,62.994797,31567700,3.6650909769222437%
2003-12-01,79.299004,93.524757,78.409889,91.314003,73.302773,46184500,15.151513126192611%
2004-02-01,82.230659,91.674454,80.164078,90.040413,72.280418,39738400,9.497374938950687%
2004-06-01,75.213898,81.413643,73.075233,79.371094,64.307045,39933900,5.527164673741545%
2004-09-01,77.376602,80.981102,72.738808,80.716766,65.710831,46194100,4.3167623204751235%
2004-11-01,78.457947,84.080971,75.958832,81.653938,66.473763,33469700,4.073508321598056%
2005-02-01,71.441193,77.304512,69.446701,77.184357,63.130287,38009100,8.03900909101561%
2005-07-01,63.078751,69.686996,61.396648,67.404152,55.697239,42376500,6.857144333755118%
2005-11-01,58.464989,67.500267,58.320808,65.866226,54.711781,50713900,12.659263478181778%
2005-12-01,66.683250,71.705521,66.442947,71.056709,59.385357,39098400,6.558557058931585%
2006-01-01,71.104767,77.304512,68.245201,75.694504,63.261364,55285300,6.454893523524238%
2006-03-01,70.528053,75.646439,68.221169,73.435677,61.667210,42518200,4.122648898304336%
2006-04-01,73.916283,86.387848,73.627922,81.173340,68.164871,69178300,9.817940926493812%
2006-10-01,67.380119,69.590881,63.415169,69.470734,58.895718,91799800,3.1027178803290623%
2006-11-01,69.686996,75.069717,66.539070,74.901512,63.499786,60637300,7.482767660124141%
2007-01-01,72.210152,78.385857,67.500267,77.616898,66.476944,79802800,7.4875150519002%
2007-02-01,78.193619,86.628151,77.064209,80.284233,69.125206,85755100,2.673637602065716%
2007-03-01,78.602127,83.047684,75.958832,81.461700,70.138985,83913800,3.6380351386674272%
2007-04-01,81.894241,87.709503,80.812889,85.282471,73.428696,78264200,4.1373238931416525%
2007-05-01,85.642921,99.844650,82.639168,99.195839,85.408180,146670900,15.82491330486031%
2007-09-01,87.349052,94.918503,79.851692,94.005363,81.700531,98266700,7.6203586044643075%
2008-02-01,80.909012,95.206863,76.655701,89.247421,77.901764,114453800,10.305908815200954%
2008-05-01,83.312012,107.582314,80.860947,97.537773,86.005493,133707300,17.075282013354816%
2008-12-01,24.462540,27.538380,17.926380,27.057779,24.318260,220925200,10.609033240211357%
2009-03-01,14.538150,19.704599,11.942910,17.638020,16.194649,551057100,21.322314049586787%
2009-04-01,17.157419,22.564171,16.893089,21.795210,20.011642,333127200,27.03081972877156%
2009-06-01,22.828501,29.749140,22.371929,24.822990,22.859348,386947600,8.736837342057639%
2009-07-01,25.183439,28.547640,21.530880,28.259279,26.023806,344983200,12.213740943006233%
2009-09-01,28.956150,35.660519,27.129869,31.527361,29.101362,252938400,8.879671503290314%
2009-12-01,30.638250,39.673531,30.373920,38.736359,35.840569,278985200,26.431369285125623%
2010-02-01,31.214970,33.401699,30.301830,31.959900,29.570688,287227900,2.386451116243264%
2010-03-01,31.839750,35.612461,31.695570,34.218719,31.730289,330332400,7.471694972479375%
2010-07-01,24.270300,27.442261,23.573429,26.841511,24.949051,230738300,10.594063526202815%
2010-09-01,25.015230,29.436750,24.798960,29.100330,27.118992,223755800,16.33045148895293%
2010-10-01,29.412720,32.416470,28.379431,31.575420,29.425564,262583000,7.352941176470591%
2010-12-01,32.080051,37.558891,31.983931,36.982170,34.542450,191299100,15.280895282865997%
2011-01-01,38.015461,40.178162,37.486801,39.817711,37.190926,350467300,4.740834262144028%
2011-03-01,40.682789,42.653252,37.054260,42.436981,39.706177,210621000,4.311877437901328%
2011-10-01,22.612230,28.018980,20.305349,25.856279,24.286539,404946600,14.346435535106448%
2012-01-01,21.482821,25.808220,21.362671,24.414480,22.998615,267686300,13.646527148366594%
2012-06-01,20.161169,21.627001,19.728630,21.026251,19.930880,176096000,4.2908325405138825%
2012-09-01,20.569679,23.861790,20.185200,21.290581,20.253176,161925400,3.5046827906259437%
2012-12-01,20.305349,21.410730,20.065050,20.858040,19.910763,124746100,2.721898549983058%
